Algorithm,Seed,Round,Accuracy,F1_Score,AUC,MAE
Vanilla FedAvg,1,1,21.372170699053477,0.19480739401449595,0.5,0.394699332909157
Vanilla FedAvg,1,2,21.634480281380636,0.20889801635080618,0.5,0.4004893600508462
Vanilla FedAvg,1,3,23.097369236954485,0.2259425286362379,0.5,0.39283758022323184
Vanilla FedAvg,1,4,23.32039256749233,0.2242930649478593,0.5,0.3852320822610727
Vanilla FedAvg,1,5,23.711682659356565,0.22373558968885202,0.5,0.38756011565044096
Vanilla FedAvg,1,6,23.31348834550043,0.2256823085728634,0.5,0.3870961767054348
Vanilla FedAvg,1,7,25.707994865875214,0.24794487404240992,0.5,0.3773841713592444
Vanilla FedAvg,1,8,25.593074713848896,0.24988312394131923,0.5,0.37373986766762846
Vanilla FedAvg,1,9,26.16223562544459,0.24270524859911385,0.5,0.3704092042212248
Vanilla FedAvg,1,10,27.09905675442655,0.25566721799115477,0.5,0.37359792024865507
Vanilla FedAvg,1,11,28.464139350275584,0.27271434411091255,0.5,0.3631464060420549
Vanilla FedAvg,1,12,28.275776416358656,0.27340551976980426,0.5,0.36637244615181785
Vanilla FedAvg,1,13,30.113774629742053,0.2933451413304337,0.5,0.3498833997403951
Vanilla FedAvg,1,14,30.713109658827943,0.29448186804124854,0.5,0.3491479420235992
Vanilla FedAvg,1,15,31.303942668957312,0.30115994796203405,0.5,0.34488952890496105
Vanilla FedAvg,1,16,32.992902520920325,0.30728650508993843,0.5,0.3449043567614036
Vanilla FedAvg,1,17,33.07837051144711,0.3240575886697097,0.5,0.3416767208812406
Vanilla FedAvg,1,18,34.69661537287229,0.32544668729332865,0.5,0.32725736965297947
Vanilla FedAvg,1,19,34.965492298760466,0.32539975601034066,0.5,0.32848151875472414
Vanilla FedAvg,1,20,36.24399899825263,0.35392002317715526,0.5,0.32203183822900433
Vanilla FedAvg,1,21,37.83623778985752,0.35305087548907715,0.5,0.31201475351009544
Vanilla FedAvg,1,22,39.15590334397636,0.36946295702650844,0.5,0.3098332552558132
Vanilla FedAvg,1,23,39.522584865522916,0.3768666750944847,0.5,0.3026412669398264
Vanilla FedAvg,1,24,41.39880949053646,0.4035505044673912,0.5,0.29937005665995553
Vanilla FedAvg,1,25,41.749912885799155,0.3909978168023098,0.5,0.2953542648013605
Vanilla FedAvg,1,26,41.80754867229368,0.39460295421761704,0.5,0.29173205573681954
Vanilla FedAvg,1,27,43.50227571672169,0.4077283489770211,0.5,0.2888226589814958
Vanilla FedAvg,1,28,44.76679962174714,0.4212854244893676,0.5,0.27803170248012465
Vanilla FedAvg,1,29,46.18137390402797,0.4364286611561929,0.5,0.2722731652295788
Vanilla FedAvg,1,30,47.73432249526645,0.46559532196305764,0.5,0.26559946540993035
Vanilla FedAvg,1,31,48.51522500917834,0.4753101624793239,0.5000447770660077,0.26159798498559605
Vanilla FedAvg,1,32,49.61284949255054,0.48176376881758065,0.5149298412521686,0.2553119042512836
Vanilla FedAvg,1,33,50.51283462599871,0.48464996689991996,0.5180981566710353,0.2510721228937994
Vanilla FedAvg,1,34,51.90069229881314,0.48919114287394966,0.5293824500387103,0.24301436146418795
Vanilla FedAvg,1,35,51.836581894819076,0.5023016926816776,0.5379969494746455,0.2469127338657036
Vanilla FedAvg,1,36,53.87025539964595,0.517874922451953,0.5581877664839596,0.23343518764413637
Vanilla FedAvg,1,37,54.86332163253155,0.5347626545569847,0.5637386887225398,0.23553989637844824
Vanilla FedAvg,1,38,56.17299034147585,0.5456541999162333,0.5750085479406997,0.2267512444459079
Vanilla FedAvg,1,39,57.465541094861095,0.5558066400752537,0.5883323526426751,0.21900759163330347
Vanilla FedAvg,1,40,57.646701086424386,0.5542221769654638,0.5955641131636998,0.22011951952377046
Vanilla FedAvg,1,41,58.61963077706287,0.5736568787841207,0.6002873783387463,0.21367748973310846
Vanilla FedAvg,1,42,59.826073906746764,0.5859637677075612,0.6131398084844749,0.20313458821824557
Vanilla FedAvg,1,43,60.55201663153686,0.5795910082270118,0.6216528128523632,0.20660721672968305
Vanilla FedAvg,1,44,62.272454807506726,0.6075196382306461,0.6393138845645647,0.18977246117487226
Vanilla FedAvg,1,45,63.372496554247626,0.6047060222276024,0.6481729574264816,0.18843402301232193
Vanilla FedAvg,1,46,63.25714232355007,0.6150829489527817,0.6516403955574418,0.19268644596178292
Vanilla FedAvg,1,47,64.88540005737985,0.6290963247413485,0.6653619048276719,0.1828325565018031
Vanilla FedAvg,1,48,66.00471319454448,0.6289039841074844,0.6711762677027937,0.17777518948585386
Vanilla FedAvg,1,49,66.10712074498676,0.6446172090189779,0.6720856655645968,0.17552868687166212
Vanilla FedAvg,1,50,67.37122321925732,0.6600540465163891,0.6926975167639129,0.16977890159479397
Vanilla FedAvg,1,51,68.97033228516838,0.6628700312045981,0.7074606297570782,0.16227013078763344
